Id,Price
1,34.73
2,34.73
3,34.73
4,34.73
5,34.73
6,34.73
7,34.73
8,34.73
9,34.73
10,34.73
11,34.73
12,34.72
13,34.72
14,34.73
15,34.73
16,34.73
17,34.73
18,34.73
19,34.72
20,34.71
21,34.71
22,34.71
23,34.73
24,34.66
25,34.49
26,34.49
27,34.68
28,34.82
29,34.73
30,34.53
31,34.57
32,34.58
33,34.51
34,34.63
35,34.72
36,34.79
37,34.88
38,34.95
39,34.92
40,34.93
41,34.9
42,34.89
43,34.91
44,34.91
45,34.76
46,34.79
47,34.86
48,34.85
49,34.86
50,34.88
51,34.92
52,35.04
53,35.08
54,35.07
55,35.08
56,35.05
57,35.08
58,35.08
59,35.06
60,35.04
61,35.04
62,35.05
63,35.06
64,35.05
65,35.05
66,35.04
67,35.05
68,35.03
69,34.98
70,34.98
71,34.98
72,34.97
73,34.99
74,34.99
75,34.99
76,34.98
77,34.99
78,34.98
79,35
80,35.02
81,35.01
82,35.02
83,34.98
84,34.9
85,34.88
86,34.89
87,34.91
88,34.92
89,34.93
90,34.99
91,34.99
92,34.97
93,34.96
94,34.97
95,34.97
96,34.99
97,35.01
98,35.08
99,35.09
100,35.1
101,35.11
102,35.1
103,35.11
104,35.1
105,35.1
106,35.11
107,35.1
108,35.09
109,35.07
110,35.06
111,35.06
112,35.08
113,35.12
114,35.12
115,35.13
116,35.12
117,35.13
118,35.1
119,35.06
120,35.05
121,35.09
122,35.09
123,35.09
124,35.11
125,35.1
126,35.09
127,35.1
128,35.13
129,35.22
130,35.78
131,35.82
132,35.54
133,35.56
134,35.17
135,35.08
136,35.08
137,35.06
138,35.07
139,35.11
140,35.16
141,35.19
142,35.19
143,35.19
144,35.15
145,35.16
146,35.13
147,35.09
148,35.08
149,35.08
150,35.1
151,35.12
152,35.12
153,35.13
154,35.14
155,35.09
156,35.08
157,35.06
158,35.08
159,35.1
160,35.1
161,35.08
162,35.08
163,35.09
164,35.1
165,35.08
166,35.08
167,35.08
168,35.08
169,35.08
170,35.08
171,35.08
172,35.08
173,35.08
174,35.08
175,35.08
176,35.08
177,35.09
178,35.11
179,35.1
180,35.12
181,35.13
182,35.14
183,35.16
184,35.14
185,35.1
186,35.1
187,35.12
188,35.15
189,35.14
190,35.11
191,35.11
192,35.13
193,35.15
194,35.17
195,35.15
196,35.13
197,35.12
198,35.15
199,35.18
200,35.18
201,35.19
202,35.16
203,35.16
204,35.18
205,35.18
206,35.17
207,35.16
208,35.17
209,35.18
210,35.19
211,35.19
212,35.19
213,35.19
214,35.19
215,35.2
216,35.19
217,35.18
218,35.2
219,35.2
220,37.88
221,40.69
222,41.11
223,39.53
224,39.17
225,40.2
226,39.21
227,39.8
228,41.11
229,42.29
230,42.62
231,43.17
232,43.3
233,43.46
234,41.44
235,41.76
236,41.13
237,40.87
238,40.48
239,37.45
240,35.19
241,34.95
242,34.99
243,35.09
244,35.62
245,35.96
246,35.44
247,35.33
248,35.38
249,36.2
250,37.55
251,37.46
252,37.43
253,37.87
254,38.72
255,38.87
256,39
257,40.49
258,40.11
259,40.93
260,42.72
261,41.98
262,42.47
263,42.84
264,43.46
265,45.64
266,48.24
267,48.29
268,49.03
269,54.5
270,62.17
271,65.56
272,66.92
273,65.59
274,64.82
275,62.73
276,63.78
277,65.13
278,73.97
279,84.11
280,90.44
281,101.62
282,119.8
283,120.36
284,106.23
285,103.03
286,99.92
287,94.65
288,106.24
289,129.03
290,150
291,168.3
292,172.24
293,163.57
294,154.01
295,142.28
296,154.36
297,151.66
298,158.53
299,181.48
300,183.68
301,176.86
302,179.55
303,178.2
304,170.07
305,167.29
306,164.25
307,164.87
308,163.17
309,144.31
310,142.69
311,142.57
312,139.28
313,131.7
314,130.94
315,132.68
316,127.91
317,126.91
318,125.68
319,117.87
320,110.06
321,114.1
322,116.1
323,130.34
324,133.67
325,132.31
326,136.16
327,148.34
328,149.18
329,146.54
330,140.83
331,143.38
332,145.01
333,149.33
334,158.85
335,162.13
336,160.48
337,173.21
338,178.36
339,183.77
340,175.32
341,176.19
342,183.76
343,188.57
344,206.46
345,212.21
346,227.43
347,207.08
348,207.9
349,226.99
350,245.59
351,242.35
352,239.17
353,257.74
354,279.36
355,295.01
356,300.79
357,354.5
358,390.96
359,391.52
360,463.67
361,674.58
362,665.89
363,554.28
364,516.71
365,514.27
366,600.79
367,645.75
368,626.36
369,673.94
370,662.27
371,623.88
372,596.71
373,557.81
